Questions validées,16
Questions exportées,15
Erreurs d'export,3
,
"{
  ""id"": 2,
  ""text"": ""Parmi ces gaz, lesquels sont des gaz à effet de serre ?"",
  ""type"": ""multiple_choice"",
  ""references"": [
    {
      ""text"": ""https://fr.wikipedia.org/wiki/Gaz_%C3%A0_effet_de_serre"",
      ""url"": null
    },
    {
      ""text"": ""http://www.bilans-ges.ademe.fr/documentation/UPLOAD_DOC_FR/index.htm?prg.htm"",
      ""url"": null
    }
  ],
  ""categories"": [
    ""climat""
  ],
  ""keywords"": [
    ""ges""
  ],
  ""level"": ""basique"",
  ""choices"": [
    ""H2O (vapeur d’eau)"",
    ""CO2 (dioxyde de carbone)"",
    ""CH4 (méthane)"",
    ""N2O (protoxyde d’azote)"",
    ""N2 (diazote)"",
    ""O2 (dioxygène)"",
    ""O3 (ozone)"",
    ""Rn (radon)""
  ],
  ""answer"": [
    ""H2O (vapeur d’eau)"",
    ""CO2 (dioxyde de carbone)"",
    ""CH4 (méthane)"",
    ""N2O (protoxyde d’azote)"",
    ""O3 (ozone)""
  ],
  ""explanation"": """",
  ""groups"": [
    ""TTS GP""
  ]
}",
"{
  ""id"": 3,
  ""text"": ""Par quel mécanisme les gaz à effet de serre provoquent un réchauffement climatique ?"",
  ""type"": ""single_choice"",
  ""references"": [
    {
      ""text"": ""http://www.cnrs.fr/cw/dossiers/dosclim1/sysfacte/effetserre/index.htm#refroidsurf"",
      ""url"": null
    }
  ],
  ""categories"": [
    ""climat""
  ],
  ""keywords"": [
    ""température"",
    ""climat""
  ],
  ""level"": ""avancé"",
  ""choices"": [
    ""La couche d'ozone se réduit, ce qui laisse entrer plus de rayons solaires dans l'atmosphère"",
    ""L'atmosphère capte plus le rayonnement ultraviolet émis par le Soleil"",
    ""La planète évacue moins de chaleur sous forme de rayonnement infrarouge""
  ],
  ""answer"": ""La planète évacue moins de chaleur sous forme de rayonnement infrarouge"",
  ""explanation"": ""Le rayonnement infrarouge émis par la Terre vers l'espace est capté par les GES présent dans l'atmosphère : davantage de GES, c'est davantage de rayonnement infrarouge capté par l'atmosphère, et donc une température moyenne de celle-ci plus élevée. C'est une augmentation du forçage radiatif."",
  ""groups"": [
    ""TTS GP""
  ]
}",
"{
  ""id"": 4,
  ""text"": ""Quelle(s) est(sont) la(es) différence(s) entre climat et météorologie ?"",
  ""type"": ""multiple_choice"",
  ""references"": [
    {
      ""text"": ""https://www.futura-sciences.com/planete/questions-reponses/meteorologie-climat-meteo-difference-5922/"",
      ""url"": null
    }
  ],
  ""categories"": [
    ""climat""
  ],
  ""keywords"": [
    ""météorologie"",
    ""climat""
  ],
  ""level"": ""basique"",
  ""choices"": [
    ""Il n'y en a pas"",
    ""Contrairement à la météorologie, le climat s'étudie sur de grandes surfaces"",
    ""Contrairement à la météorologie, le climat s'étudie sur le temps long uniquement"",
    ""L'étude du climat prend en compte plus de paramètres que la météorologie"",
    ""On a des modèles prédictifs pour la météorologie, pas pour le climat""
  ],
  ""answer"": [
    ""Contrairement à la météorologie, le climat s'étudie sur de grandes surfaces"",
    ""Contrairement à la météorologie, le climat s'étudie sur le temps long uniquement"",
    ""L'étude du climat prend en compte plus de paramètres que la météorologie""
  ],
  ""explanation"": """",
  ""groups"": [
    ""TTS GP""
  ]
}",
"{
  ""id"": 6,
  ""text"": ""Combien de temps (globalement) la Terre a-t-elle mis pour passer de la dernière ère glaciaire à l'actuelle ère interglaciaire ?"",
  ""type"": ""multiple_choice"",
  ""references"": [
    {
      ""text"": ""https://fr.wikipedia.org/wiki/Derni%C3%A8re_p%C3%A9riode_glaciaire"",
      ""url"": null
    },
    {
      ""text"": ""https://www.ipcc.ch/site/assets/uploads/2018/02/WG1AR5_Chapter05_FINAL.pdf"",
      ""url"": null
    }
  ],
  ""categories"": [
    ""climat""
  ],
  ""keywords"": [
    ""glaciation""
  ],
  ""level"": ""basique"",
  ""choices"": [
    ""300 ans"",
    ""1000 ans"",
    ""3000 ans"",
    ""10 000 ans"",
    ""30 000 ans""
  ],
  ""answer"": [
    ""10 000 ans""
  ],
  ""explanation"": """",
  ""groups"": [
    ""TTS GP""
  ]
}",
"{
  ""id"": 8,
  ""text"": ""Par rapport à aujourd'hui, où le niveau moyen des océans était-il situé il y a 22 000 ans ?"",
  ""type"": ""multiple_choice"",
  ""references"": [
    {
      ""text"": ""https://www.college-de-france.fr/media/edouard-bard/UPL1026748074527999487_Bard13LaRecherche.pdf"",
      ""url"": null
    }
  ],
  ""categories"": [
    ""climat""
  ],
  ""keywords"": [
    ""glaciation"",
    ""océan""
  ],
  ""level"": ""b/a"",
  ""choices"": [
    ""120 mètres plus bas"",
    ""12 mètres plus bas"",
    ""1,2 mètre plus bas"",
    ""12 mètres plus haut""
  ],
  ""answer"": [
    ""120 mètres plus bas""
  ],
  ""explanation"": """",
  ""groups"": [
    ""TTS GP""
  ]
}",
"{
  ""id"": 10,
  ""text"": ""Quel(s) rôle(s) occupe(nt) le GIEC ? Choisissez toutes les bonnes réponses."",
  ""type"": ""multiple_choice"",
  ""references"": [
    {
      ""text"": ""https://fr.wikipedia.org/wiki/Groupe_d%27experts_intergouvernemental_sur_l%27%C3%A9volution_du_climat#Objectifs"",
      ""url"": null
    }
  ],
  ""categories"": [
    ""climat""
  ],
  ""keywords"": [
    ""giec""
  ],
  ""level"": ""basique"",
  ""choices"": [
    ""Conseiller les gouvernements sur la question climatique"",
    ""Faire des projections sur le climat"",
    ""Vulgariser les notions scientifiques liées au climat"",
    ""Synthétiser le travail des chercheurs sur le climat""
  ],
  ""answer"": [
    ""Synthétiser le travail des chercheurs sur le climat""
  ],
  ""explanation"": """",
  ""groups"": [
    ""TTS GP""
  ]
}",
"{
  ""id"": 13,
  ""text"": ""En quelle année s'est tenue la première COP ?"",
  ""type"": ""multiple_choice"",
  ""references"": [
    {
      ""text"": ""https://fr.wikipedia.org/wiki/Conf%C3%A9rence_des_parties"",
      ""url"": null
    }
  ],
  ""categories"": [
    ""climat""
  ],
  ""keywords"": [
    ""cop""
  ],
  ""level"": ""basique"",
  ""choices"": [
    ""1965"",
    ""1979"",
    ""1988"",
    ""1992""
  ],
  ""answer"": [
    ""1979""
  ],
  ""explanation"": """",
  ""groups"": [
    ""TTS GP""
  ]
}",
"{
  ""id"": 15,
  ""text"": ""Classer par ordre d'importance les causes actuelles de l'élévation du niveau des océans"",
  ""type"": ""ranking"",
  ""references"": [
    {
      ""text"": ""https://www.ipcc.ch/site/assets/uploads/2018/02/WG1AR5_all_final.pdf"",
      ""url"": null
    }
  ],
  ""categories"": [
    ""climat""
  ],
  ""keywords"": [
    ""océans""
  ],
  ""level"": ""basique"",
  ""choices"": [
    ""la dilatation thermique de l'eau des océans"",
    ""la fonte des glaciers"",
    ""la fonte de l'Antarctique"",
    ""la fonte de l'Arctique""
  ],
  ""answer"": [
    ""la dilatation thermique de l'eau des océans"",
    ""la fonte des glaciers"",
    ""la fonte de l'Antarctique"",
    ""la fonte de l'Arctique""
  ],
  ""explanation"": ""voir le chapitre 13 du rapport du GP1 du GIEC Figure TS.21 page 99 ou figure 13.10 page 1180 https://www.ipcc.ch/site/assets/uploads/2018/02/WGI_AR5_Fig13-10.jpg"",
  ""groups"": [
    ""TTS GP""
  ]
}",
